Date/Statios,Ananea,Arapa,Azangaro,Cabanillas,Capachica,Chuquibambilla,Cojata,Crucero,CruceroAlto,Desaguadero,Huancane,HuarayaMoho,Ilave,Juli,Lampa,Mazocruz,Pampahuta,Pizacoma,Progreso,Puno,Putina,Santa Rosa
1/1964,,116.000,84.500,46.000,114.200,98.400,92.300,96.000,102.900,,68.000,88.800,69.000,,43.000,48.200,40.900,7.000,158.000,,67.500,
2/1964,124.400,83.500,57.000,94.300,182.200,78.700,356.200,77.200,102.800,,82.000,212.300,,,123.400,118.400,126.200,109.300,66.500,95.000,71.000,
3/1964,,151.000,104.500,139.700,363.800,169.000,235.300,135.100,,,,229.500,101.500,,127.600,107.600,152.000,82.600,218.000,112.900,111.000,
4/1964,,54.500,65.000,41.000,108.400,70.600,41.300,35.100,,,27.000,42.600,36.000,,42.000,10.600,35.200,12.100,17.700,54.100,72.500,
5/1964,56.000,9.000,13.500,13.000,67.600,19.500,31.000,0.000,,,22.600,54.700,16.000,,16.500,20.200,29.000,11.200,16.400,11.800,17.500,
6/1964,7.300,0.000,0.000,0.000,0.000,0.000,0.400,0.000,,,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
7/1964,0.000,0.000,0.000,0.000,0.000,0.000,7.500,0.000,,,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
8/1964,0.000,4.700,0.500,0.000,4.000,0.000,3.400,0.000,,16.700,2.200,3.300,8.500,,0.000,2.000,4.500,25.500,0.500,6.600,1.000,
9/1964,32.400,53.500,39.000,1.500,38.400,30.500,37.000,16.200,24.900,,16.000,21.400,39.500,,15.900,12.000,6.100,,31.900,22.200,16.000,
10/1964,48.600,28.500,32.000,27.400,,52.000,69.800,21.300,,,13.500,,13.500,,20.900,2.600,8.200,0.000,40.800,7.800,47.000,
11/1964,58.400,50.500,51.000,29.000,103.400,139.100,61.700,37.600,24.900,,81.400,53.000,75.500,,63.500,25.600,45.700,0.000,55.700,50.200,80.000,
12/1964,70.900,40.000,68.800,77.100,117.800,124.000,47.700,109.400,,59.200,27.500,101.400,4.400,,50.100,69.200,72.000,52.500,60.800,48.200,92.500,
1/1965,141.600,121.000,100.000,157.600,213.300,235.900,226.000,135.600,,,173.500,281.700,10.600,,154.800,94.800,124.100,42.200,150.400,100.700,194.500,
2/1965,77.500,60.400,82.000,105.500,187.800,132.100,194.200,117.400,132.600,,108.500,109.200,21.800,,97.500,74.600,163.100,56.200,130.500,174.800,93.500,
3/1965,82.900,142.600,133.000,88.200,248.200,195.600,246.700,79.400,99.200,53.800,100.000,103.500,21.700,84.000,99.100,35.600,123.100,63.400,116.000,61.200,161.000,
4/1965,41.200,40.000,27.500,74.400,113.800,46.700,65.700,30.100,35.700,15.100,23.800,40.800,6.400,8.000,31.000,34.200,43.400,1.000,50.700,30.700,39.500,
5/1965,0.000,2.000,0.500,5.000,,0.000,,1.500,1.800,0.400,3.500,4.200,0.800,3.400,0.000,0.000,5.400,0.000,2.800,0.800,0.000,
6/1965,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.800,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,
7/1965,3.200,3.000,0.000,0.000,5.000,0.200,0.000,0.000,4.700,,5.500,2.700,0.000,4.000,0.000,0.000,4.900,0.000,0.000,0.600,0.000,
8/1965,13.000,0.500,2.500,0.000,0.000,1.000,7.400,1.100,0.000,1.200,2.000,0.700,0.000,0.000,0.000,5.600,0.000,3.200,0.000,7.100,0.500,
9/1965,35.900,18.000,18.500,12.200,,4.100,,22.900,10.900,31.900,21.000,30.000,,46.200,5.500,11.600,22.400,20.300,20.000,32.200,23.000,
10/1965,20.600,22.000,18.900,12.000,24.400,30.400,,24.700,6.900,10.300,24.000,48.700,14.000,16.800,23.000,3.000,25.100,0.000,16.000,14.000,21.500,
11/1965,58.800,55.600,55.500,13.200,39.300,66.600,41.300,49.300,23.000,59.900,74.000,,10.500,74.500,45.000,10.600,87.700,6.800,78.700,49.700,100.200,
12/1965,64.700,128.100,12.200,60.900,190.400,186.800,174.900,142.300,132.100,,184.000,174.900,106.500,205.300,155.000,68.600,87.700,73.200,122.100,116.000,163.300,
1/1966,50.300,77.900,92.500,25.100,53.500,90.100,100.800,35.200,62.200,69.600,106.000,156.800,56.000,64.800,31.000,26.600,89.400,0.000,79.700,32.500,66.500,
2/1966,140.400,100.100,107.000,156.200,103.800,109.500,155.100,160.500,97.600,153.200,126.000,121.200,86.500,90.000,107.000,81.400,178.500,8.800,79.100,79.900,151.100,
3/1966,33.800,129.600,65.500,81.500,49.400,99.600,50.700,110.000,81.900,,123.000,151.600,23.000,52.700,53.000,40.800,63.500,112.600,45.900,18.600,66.400,
4/1966,7.700,15.700,19.000,3.100,5.700,13.500,14.000,9.500,8.800,42.800,16.500,38.100,21.000,27.500,14.000,10.000,13.000,,0.300,76.100,32.200,
5/1966,35.500,64.700,44.300,31.000,54.600,29.400,42.500,36.000,68.000,30.000,75.000,,52.400,,0.000,28.400,40.000,,40.800,40.300,41.900,
6/1966,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,
7/1966,0.000,0.000,0.000,0.000,0.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,,0.000,0.500,0.000,
8/1966,0.000,2.500,1.500,1.000,0.000,0.000,0.000,1.800,0.000,,0.000,0.500,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
9/1966,23.900,13.000,36.700,9.500,16.300,25.500,22.600,42.200,1.200,,11.600,10.700,,13.000,18.300,0.000,3.700,0.000,31.300,1.000,26.000,
10/1966,65.600,33.300,46.500,21.900,29.400,62.500,28.200,63.200,68.810,21.900,37.500,37.600,30.200,58.900,31.700,23.800,30.100,9.300,60.800,42.900,43.400,
11/1966,70.500,63.200,62.900,49.000,,75.500,29.400,43.800,95.000,34.600,63.200,72.400,,66.900,61.200,63.300,98.700,,70.800,71.800,95.500,
12/1966,108.600,83.900,92.500,60.700,99.400,96.800,109.500,54.000,68.800,99.800,84.400,112.300,101.300,98.600,87.100,99.800,103.400,,70.700,27.800,48.200,
1/1967,40.100,58.100,41.000,71.200,49.200,65.900,34.800,34.900,79.100,,27.500,,,68.000,67.600,23.800,77.200,,66.900,71.800,41.200,97.700
2/1967,76.200,106.000,104.000,92.800,,165.900,65.700,106.900,132.500,72.900,73.000,81.100,,172.100,111.700,81.000,94.000,,106.600,106.100,85.100,124.300
3/1967,66.000,103.600,,148.900,217.500,142.800,125.400,85.500,126.600,114.000,78.000,190.600,105.800,191.700,128.800,101.000,211.100,,101.600,213.800,153.800,147.000
4/1967,7.700,5.500,6.900,7.300,36.400,22.100,20.700,2.400,33.900,21.000,7.000,0.500,12.700,68.200,14.300,13.200,29.800,,26.100,12.800,10.000,33.200
5/1967,20.800,25.000,14.200,13.700,,10.200,24.400,29.200,2.000,,29.000,,13.300,17.200,13.500,5.800,19.200,0.000,8.900,12.900,26.000,15.800
6/1967,0.000,1.000,0.000,0.600,1.000,0.000,11.100,3.200,0.000,,1.000,7.800,0.000,0.000,0.600,0.000,0.600,0.000,0.000,0.000,0.000,0.500
7/1967,26.500,18.000,12.000,9.500,8.800,22.200,25.200,13.600,8.500,,30.500,,0.000,,4.900,3.000,12.100,0.000,13.300,16.900,22.700,21.800
8/1967,24.000,19.600,23.600,15.600,20.400,4.400,37.100,23.100,2.800,12.800,16.500,40.300,0.000,,5.200,0.000,8.300,0.000,16.900,27.800,29.400,29.000
9/1967,32.000,69.500,35.900,40.000,,17.400,40.000,44.600,81.000,37.300,62.000,78.800,39.800,44.900,61.600,33.400,39.900,32.400,24.900,63.500,94.700,30.200
10/1967,48.200,65.400,41.500,31.800,,102.500,44.200,75.200,24.800,35.200,47.000,,36.700,30.300,58.500,2.800,35.300,20.200,47.500,43.700,87.400,63.500
11/1967,54.900,14.200,8.600,4.200,34.100,25.200,30.000,27.600,30.400,1.100,7.300,10.200,14.800,5.700,11.800,7.000,16.500,7.000,34.400,4.000,25.200,31.800
12/1967,151.700,151.600,129.800,131.000,143.900,235.500,133.200,175.200,113.300,162.800,166.500,174.900,112.200,172.100,168.500,73.200,133.700,104.500,87.900,121.500,44.800,163.100
1/1968,185.900,112.500,81.200,95.700,104.800,147.800,77.800,98.100,376.800,137.700,92.200,145.300,100.400,134.300,97.900,154.700,179.500,141.500,61.200,120.700,79.600,184.700
2/1968,175.900,144.300,143.000,168.500,178.900,233.200,107.200,130.600,138.100,231.200,237.400,302.800,161.300,272.000,199.400,125.600,213.300,154.900,156.100,117.400,126.200,223.700
3/1968,89.700,83.200,73.900,52.400,192.300,134.200,31.700,108.600,232.100,104.000,89.200,69.900,134.900,193.800,73.400,103.200,112.800,74.800,88.800,111.200,72.000,136.800
4/1968,7.200,16.600,36.900,8.700,42.900,43.900,31.900,12.500,0.000,14.500,36.200,,36.000,27.000,54.000,7.000,19.200,3.000,38.500,62.700,48.100,21.100
5/1968,2.000,15.400,0.700,16.100,21.400,0.000,7.400,0.000,0.000,44.200,11.500,29.800,31.300,45.100,4.400,33.600,12.000,30.800,1.700,10.400,0.700,2.600
6/1968,0.000,4.500,1.000,0.000,17.700,0.000,0.000,0.000,0.000,26.400,5.400,2.500,19.900,30.700,2.200,5.800,3.400,19.800,0.000,12.300,0.400,2.000
7/1968,22.200,9.500,8.000,2.200,1.800,11.000,26.400,38.000,8.500,0.000,13.400,20.100,4.200,1.000,5.800,0.000,5.800,0.000,13.400,3.700,45.400,14.500
8/1968,36.000,5.900,7.600,0.000,2.100,8.200,8.000,23.400,0.000,4.000,12.200,14.200,1.000,2.000,3.000,0.000,3.900,0.000,20.100,2.800,1.100,1.500
9/1968,3.700,10.600,25.500,21.600,35.000,20.400,32.900,40.900,2.800,26.100,57.000,,16.100,30.600,27.000,7.000,24.100,6.100,28.200,15.500,56.400,30.100
10/1968,4.700,50.800,20.900,0.000,,37.300,30.900,43.900,27.500,17.300,53.900,,23.600,3.500,53.100,50.600,30.500,44.700,23.300,59.400,49.000,99.100
11/1968,5.000,112.500,73.700,135.700,151.200,118.700,91.900,,63.400,,127.000,157.300,139.000,104.900,145.500,158.600,148.200,146.000,80.100,59.100,138.900,153.700
12/1968,7.900,65.100,33.700,0.000,62.000,83.300,54.700,51.900,,28.500,85.800,99.000,51.700,51.100,67.600,73.000,83.900,24.000,44.000,48.900,41.400,85.000
